q,allowed_branches,mu_q,has_zero_residue,exact_best_rho,predicted_best_rho,exact_best_m_list,predicted_best_m_list,all_inverse_pairs_hit,missed_first_shell_m_list,first_shell_hit_m_list,all_admissible_equal,common_rho_if_equal,rho_spectrum,prediction_matches_exact
4,1,1,True,0,0,1,1,False,,1,True,0,0:1,True
5,1,1,True,0,0,1,1,False,,1,True,0,0:1,True
7,2,1,True,0,0,2,2,False,,2,True,0,0:1,True
9,2,1,True,0,0,2,2,False,,2,True,0,0:1,True
10,3,1,True,0,0,3,3,False,,3,True,0,0:1,True
11,3,1,True,0,0,3,3,False,,3,True,0,0:1,True
13,3,1,True,0,0,3,3,False,,3,True,0,0:1,True
14,3,1,True,0,0,3,3,False,,3,True,0,0:1,True
15,4,1,True,0,0,4,4,False,,4,True,0,0:1,True
17,"4,5",2,True,0,0,"4,5","4,5",False,,"4,5",True,0,0:2,True
18,5,1,True,0,0,5,5,False,,5,True,0,0:1,True
19,"4,5",2,True,0,0,"4,5","4,5",False,,"4,5",True,0,0:2,True
21,5,1,True,0,0,5,5,False,,5,True,0,0:1,True
22,5,1,True,0,0,5,5,False,,5,True,0,0:1,True
23,"5,6",2,True,0,0,"5,6","5,6",False,,"5,6",True,0,0:2,True
24,"5,7",2,True,0,0,"5,7","5,7",False,,"5,7",True,0,0:2,True
25,"6,7",2,True,0,0,"6,7","6,7",False,,"6,7",True,0,0:2,True
26,7,1,True,0,0,7,7,False,,7,True,0,0:1,True
27,"7,8",2,True,0,0,"7,8","7,8",False,,"7,8",True,0,0:2,True
29,"6,7,8",3,False,1,1,"6,7,8","6,7,8",True,,"6,7,8",True,1,1:3,True
30,7,1,True,0,0,7,7,False,,7,True,0,0:1,True
31,"7,8,9",3,True,0,0,"7,8,9","7,8,9",False,,"7,8,9",True,0,0:3,True
32,"7,9",2,False,1,1,"7,9","7,9",True,,"7,9",True,1,1:2,True
33,"7,8",2,True,0,0,"7,8","7,8",False,,"7,8",True,0,0:2,True
34,"7,9",2,True,0,0,"7,9","7,9",False,,"7,9",True,0,0:2,True
35,"8,9",2,False,1,1,"8,9","8,9",True,,"8,9",True,1,1:2,True
37,"8,9,10,11",4,False,1,1,"8,9,10,11","8,9,10,11",True,,"8,9,10,11",True,1,1:4,True
38,"9,11",2,False,1,1,"9,11","9,11",True,,"9,11",True,1,1:2,True
39,"8,10,11",3,True,0,0,"8,10,11","8,10,11",False,,"8,10,11",True,0,0:3,True
40,"9,11",2,True,0,0,"9,11","9,11",False,,"9,11",True,0,0:2,True
41,"9,10,11,12",4,False,1,1,"9,10,11,12","9,10,11,12",True,,"9,10,11,12",True,1,1:4,True
42,11,1,True,0,0,11,11,False,,11,True,0,0:1,True
43,"9,10,11,12",4,False,1,1,"9,10,11,12","9,10,11,12",True,,"9,10,11,12",True,1,1:4,True
44,"9,13",2,False,1,1,"9,13","9,13",True,,"9,13",True,1,1:2,True
45,"11,13",2,True,0,0,"11,13","11,13",False,,"11,13",True,0,0:2,True
46,"11,13",2,False,1,1,"11,13","11,13",True,,"11,13",True,1,1:2,True
47,"10,11,12,13,14",5,False,1,1,"10,11,12,13,14","10,11,12,13,14",True,,"10,11,12,13,14",True,1,1:5,True
48,"11,13",2,False,1,1,"11,13","11,13",True,,"11,13",True,1,1:2,True
49,"10,11,12,13",4,False,1,1,"10,11,12,13","10,11,12,13",True,,"10,11,12,13",True,1,1:4,True
50,"11,13",2,False,1,1,"11,13","11,13",True,,"11,13",True,1,1:2,True
